month,escola,slug,tutores,second_tutor,docs_fiscais (15_dias),mensagens (7_dias),atividades (7_dias),relatorios_diarios (7_dias),avaliacoes (7_dias),menus (7_dias),eventos (15_dias)
Mar,Darwin School Santarém,https://darwinschoolsantarem.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mar,Centro Social Paroquial de Silvares,https://cspsilvares.educabiz.com,49.0,2.0,40.0,149.0,0.0,168.0,1323.0,0.0,0.0
Mar,Colégio O Pimpolho,https://opimpolho.educabiz.com,207.0,25.0,215.0,2379.0,31.0,561.0,3903.0,0.0,8.0
Mar,CSSSV,https://csssv.educabiz.com,59.0,18.0,0.0,101.0,7.0,177.0,1361.0,0.0,0.0
Mar,ATC.ON,https://colegioatc.educabiz.com,302.0,28.0,0.0,1262.0,9.0,623.0,4375.0,0.0,4.0
Mar,Centro Social Espaço Aberto de Pêra,https://espacoabertopera.educabiz.com,76.0,3.0,95.0,136.0,3.0,159.0,1112.0,0.0,0.0
Mar,Centro Social de Torres do Mondego,https://cstmondego.educabiz.com,106.0,43.0,340.0,1264.0,3.0,454.0,1861.0,0.0,6.0
Mar,Colégio Arco-Íris e os Seus Tesourinhos,https://colegioarcoiris.educabiz.com,86.0,10.0,66.0,122.0,0.0,172.0,1150.0,0.0,0.0
Mar,Mais Plural - Coop. de Solidariedade,https://maisplural.educabiz.com,239.0,136.0,371.0,1556.0,25.0,588.0,2667.0,0.0,2.0
Mar,O Ninho Dourado,https://oninhodourado.educabiz.com,71.0,11.0,0.0,138.0,7.0,159.0,1003.0,0.0,0.0
Mar,Colégio da Fonte,https://colegiodafonte.educabiz.com,193.0,35.0,0.0,18.0,0.0,0.0,4.0,0.0,0.0
Mar,Externato Limiar,https://externatolimiar.educabiz.com,128.0,27.0,85.0,669.0,5.0,258.0,2200.0,0.0,0.0
Mar,GRUPO DDL,https://ddl.educabiz.com,80.0,22.0,164.0,339.0,0.0,274.0,2068.0,0.0,2.0
